Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector)
3615.0,2022-03-21,7.306893758,5.139811242,0.779999971,1.039999962,5.900000095,183.2100067,7.0,0.519999981,2.0,0.400000006,0.300000012,0.779999971,1.039999962,5.320000172,187.1000061,0.649999976,1.580000043
3617.0,2022-03-21,7.306893636,5.139811364,0.779999971,1.039999962,2.640000105,185.9299927,6.699999809,1.139999986,2.099999905,0.400000006,0.600000024,0.779999971,1.570000052,20.44000053,189.5800018,0.649999976,0.75999999
3619.0,2022-03-21,7.306893515,5.139811485,1.460000038,2.609999895,6.449999809,185.1699982,7.599999905,0.529999971,2.0,0.400000006,0.300000012,1.460000038,2.24000001,5.559999943,187.3000031,1.809999943,3.039999962
3621.0,2022-03-21,7.306893394,5.139811606,0.779999971,2.430000067,6.019999981,182.5200043,4.0,0.379999995,2.0,0.400000006,0.200000003,0.629999995,1.950000048,22.20999908,186.8600006,1.0,2.140000105
3623.0,2022-03-21,7.306893273,5.139811727,0.779999971,2.109999895,4.800000191,182.8600006,8.0,0.569999993,2.0,0.400000006,0.300000012,0.779999971,2.430000067,6.489999771,186.6300049,0.680000007,2.299999952
3625.0,2022-03-21,7.306893152,5.139811848,0.779999971,1.899999976,8.550000191,184.8800049,6.800000191,1.110000014,2.0,0.400000006,0.600000024,1.049999952,2.099999905,23.54999924,188.4299927,0.649999976,2.430000067
3627.0,2022-03-21,7.30689303,5.13981197,0.389999986,1.980000019,6.949999809,183.1000061,8.0,1.100000024,2.0,0.400000006,0.600000024,0.519999981,1.980000019,22.79000092,188.5700073,1.00999999,2.339999914
3629.0,2022-03-21,7.306894929,5.139812643,1.460000038,2.289999962,3.980000019,185.2200012,5.599999905,0.50999999,2.0,0.400000006,0.300000012,1.460000038,2.289999962,94.16000366,187.3500061,1.159999967,2.569999933
3631.0,2022-03-21,7.3068975,5.1398135,0.779999971,2.710000038,6.599999905,183.8800049,8.899999619,0.889999986,2.0,0.400000006,0.400000006,0.779999971,2.710000038,11.35000038,187.6199951,1.0,1.970000029
3633.0,2022-03-21,7.306900071,5.139814357,0.779999971,1.679999948,4.440000057,182.1799927,8.800000191,0.550000012,2.0,0.400000006,0.300000012,0.629999995,1.389999986,5.179999828,187.1100006,0.670000017,2.430000067
