Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector)
49:23.0,3/21/2022,7.279964,5.202844,1.460000038,2.589999914,2.099999905,140.4700012,6.199999809,0.140000001,2.099999905,0.300000012,0.100000001,1.460000038,2.670000076,12.32999992,143.5099945,1.25999999,3.119999886
49:25.0,3/21/2022,7.279985,5.2029625,0.779999971,2.160000086,1.039999962,148.5800018,4.599999905,0.219999999,2.099999905,0.300000012,0.200000003,0.779999971,1.769999981,1.639999986,153.3500061,1,2.069999933
49:27.0,3/21/2022,7.2800135,5.203119,0.779999971,1.399999976,2.49000001,151.9100037,5.900000095,0.409999996,2,0.300000012,0.400000006,0.779999971,1.789999962,4.630000114,153.2700043,0.670000017,2.039999962
49:29.0,3/21/2022,7.2800405,5.2033135,0.779999971,1.090000033,1.429999948,141.9600067,4.800000191,0.150000006,2,0.300000012,0.200000003,0.779999971,1.090000033,4.579999924,149.2899933,0.649999976,1.179999948
49:31.0,3/21/2022,7.2800735,5.2035365,0.860000014,1.269999981,2.849999905,135,6.099999905,0.02,2,0.100000001,0,0.839999974,1.129999995,2.079999924,136.7700043,2.109999895,0.920000017
49:33.0,3/21/2022,7.2801055,5.2037665,1.919999957,2.319999933,3.24000001,78.86000061,6.800000191,0.029999999,2.099999905,0,0,1.980000019,2.140000105,10.77000046,109.6699982,1.659999967,0.939999998
49:35.0,3/21/2022,7.2801365,5.204003,1.710000038,2.390000105,3.700000048,78.73999786,6.300000191,0.029999999,2.099999905,0.200000003,0,1.870000005,2.089999914,5.309999943,83.16999817,1.190000057,2.25
49:37.0,3/21/2022,7.2801685,5.2042415,0.779999971,1.830000043,2.579999924,106.8000031,4.5,0.170000002,2,0.200000003,0.200000003,0.779999971,1.830000043,2.480000019,109.8300018,1.679999948,3.25
49:39.0,3/21/2022,7.2801995,5.2044715,0.779999971,1.090000033,0.959999979,100.0699997,4.900000095,0.25999999,2,0.200000003,0.300000012,0.779999971,0.75999999,1.570000052,107.3399963,0.970000029,1.409999967
49:41.0,3/21/2022,7.2802275,5.2047,0.860000014,1.24000001,2.589999914,96.94999695,5.900000095,0.289999992,2,0.200000003,0.300000012,1.360000014,1.409999967,4.019999981,103.1299973,0.689999998,0.610000014
49:43.0,3/21/2022,7.2802595,5.204939,1.25,1.029999971,4.380000114,118.7099991,6,0.209999993,2.099999905,0.300000012,0.200000003,1.029999971,1.029999971,8.25,139.2299957,1.440000057,1.440000057
