,Time,Date,Latitude,Longitude,Call Established/Calldrop,Timing Advance,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1
2881,08:27.0,2/20/2022,7.2925745,5.1514055,Call Established,,-72.80000305,-15.19999981,-57.09999847
3024,13:03.0,2/20/2022,7.280299,5.152209,Call Established,,-55,-4.300000191,-50.79999924
3167,17:41.0,2/20/2022,7.273088,5.1583575,Call Established,,-82.09999847,-10.89999962,-70.5
3314,22:29.0,2/20/2022,7.264242,5.162627,Call Established,,-79.40000153,-13.80000019,-66.19999695
3457,27:05.0,2/20/2022,7.2502865,5.167783,Call Established,,-71.59999847,-11.69999981,-59
3599,31:39.0,2/20/2022,7.2508395,5.196839,Call Established,,-69.09999847,-11.10000038,-57.40000153
3739,36:17.0,2/20/2022,7.2374765,5.213781,Call Established,,-53.59999847,4.400000095,
3882,40:53.0,2/20/2022,7.244868,5.2234765,Call Established,,-85.69999695,-17.79999924,-67.40000153
4034,45:27.0,2/20/2022,7.263029,5.23826,Call Established,,-93.09999847,-11.19999981,-80.80000305
4179,50:11.0,2/20/2022,7.270299,5.28248,Call Established,,-73.90000153,-11.89999962,-64.80000305
4322,54:45.0,2/20/2022,7.2757065,5.281684,Call Established,,-99.5,-17.89999962,-81.59999847
4467,59:27.0,2/20/2022,7.276299,5.24504,Call Established,,-67.80000305,-7,-65.30000305
4627,04:39.0,2/20/2022,7.281309,5.220789,Call Established,,-77.30000305,-13.69999981,-63.59999847
4767,09:15.0,2/20/2022,7.28123,5.19113,Call Established,,-73.59999847,-12,-61.09999847
4912,13:53.0,2/20/2022,7.2854615,5.1723175,Call Established,,-75,3,
4999,16:41.0,2/20/2022,7.2908365,5.1607575,Dropped Call,,-71.59999847,0,
5058,18:33.0,2/20/2022,7.300419,5.152618,Call Established,,-73.5,-10,-62.40000153
5200,23:15.0,2/20/2022,7.30654,5.139601,Call Established,,-73.59999847,-15.19999981,-58.09999847
5352,28:09.0,2/20/2022,7.2949715,5.1316385,Call Established,,-93.5,-11.19999981,-80.30000305
5577,35:31.0,2/20/2022,7.29648,5.1447715,Call Established,,-77.90000153,-6.099999905,-72
5770,41:17.0,2/21/2022,7.2919845,5.151607,Call Established,,-63.5,-13.10000038,-52.70000076
5905,45:37.0,2/21/2022,7.282169,5.153195,Call Established,,-68.09999847,-13.80000019,-54.29999924
6039,49:55.0,2/21/2022,7.2735925,5.15672,Call Established,,-86.80000305,-16.89999962,-70
6172,54:15.0,2/21/2022,7.2638815,5.162908,Call Established,1.5,-69.09999847,0,
6310,58:37.0,2/21/2022,7.2516395,5.1754335,Call Established,,-78.09999847,-15.60000038,-62.79999924
6446,03:01.0,2/21/2022,7.249339,5.1996075,Call Established,0.5,-67.5,4,
6592,07:45.0,2/21/2022,7.2354945,5.2186985,Call Established,,-69.5,-10.5,-58.90000153
6726,12:05.0,2/21/2022,7.2475035,5.2231525,Call Established,,-69.80000305,-8.100000381,-61.59999847
6857,16:29.0,2/21/2022,7.262074,5.2432275,Call Established,,-65.59999847,3,
6990,20:47.0,2/21/2022,7.264344,5.276219,Call Established,,-68.5,-10.5,-57.59999847
7125,25:03.0,2/21/2022,7.276777,5.286103,Call Established,,-86.09999847,-5.599999905,-80.59999847
7262,29:23.0,2/21/2022,7.2753265,5.250523,Call Established,,-71.30000305,-10.10000038,-60.90000153
7395,33:41.0,2/21/2022,7.2767075,5.237558,Call Established,,-99.80000305,-20.60000038,-78.5
7545,38:31.0,2/21/2022,7.2807045,5.2081905,Call Established,,-84.69999695,-20,-64.40000153
7679,42:49.0,2/21/2022,7.282848,5.1879845,Call Established,,-67.30000305,-14.5,-52.79999924
7740,44:45.0,2/21/2022,7.2852085,5.174933,Call Established,,-74.69999695,3.799999952,
7872,49:07.0,2/21/2022,7.3006225,5.152411,Call Established,,-65.40000153,3.5,
8005,53:25.0,2/21/2022,7.3063365,5.1392215,Call Established,,-64.40000153,-10.39999962,-52.29999924
8135,57:43.0,2/21/2022,7.295069,5.131155,Call Established,,-75.40000153,3,
8277,02:17.0,2/21/2022,7.295145,5.14958,Call Established,,-61.09999847,-12.60000038,-48.5
8412,06:47.0,2/21/2022,7.3009825,5.141058,Call Established,,-79.40000153,5.900000095,
8516,48:13.0,2/22/2022,7.2973475,5.135215,Call Established,,-72.30000305,3,
8560,49:33.0,2/22/2022,7.3015125,5.1362875,Call Established,,-74.19999695,-6.900000095,-65.90000153
8604,50:53.0,2/22/2022,7.304550833,5.139077167,Call Established,,-70,-12.30000019,-57.5
8649,52:15.0,2/22/2022,7.30697,5.139825,Call Established,,-62.29999924,4.099999905,
8693,53:35.0,2/22/2022,7.3053565,5.143816,Call Established,,-67,-12.80000019,-54.5
8738,54:59.0,2/22/2022,7.3031625,5.148823,Call Established,1,-80.30000305,3.700000048,
8783,56:21.0,2/22/2022,7.3003,5.1527075,Call Established,1,-68.69999695,3.200000048,
8829,57:43.0,2/22/2022,7.291872752,5.159862572,Call Established,,,,
