Unnamed: 0,Time,Latitude,Longitude,Call Established/Calldrop,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1
81,327.0,7.2814005,5.190765,1,-74.59999847,-13.60000038,-60.59999847
82,449.0,7.27972,5.196155,1,-73.0,4.0,0.0
83,611.0,7.2808425,5.2092325,1,-67.5,3.0,0.0
84,733.0,7.281557,5.2145735,1,-72.19999695,3.0,0.0
85,909.0,7.2807035,5.222569,1,-62.5,3.0,0.0
86,1029.1,7.27831128,5.226852556,1,0.0,0.0,0.0
87,1153.0,7.2767345,5.237955,1,-84.5,3.299999952,0.0
88,1343.0,7.2760455,5.2472525,1,-63.09999847,-11.19999981,-51.40000153
89,1515.0,7.270965,5.262075,1,-71.90000153,-11.89999962,-60.09999847
90,1637.0,7.273105,5.2750955,1,-75.59999847,-12.19999981,-62.5
91,1759.0,7.276566,5.2848025,1,-89.69999695,3.0,0.0
92,1929.0,7.2762115,5.295605,1,-89.59999847,-11.80000019,-76.80000305
93,2229.0,7.2628295,5.2722685,1,-84.40000153,-17.0,-67.09999847
94,2535.0,7.2622985,5.241565,1,-86.80000305,-7.300000191,-79.09999847
95,2839.0,7.2546225,5.218257,1,-49.79999924,3.0,0.0
96,3143.0,7.2460985,5.2215465,1,-49.70000076,3.799999952,0.0
97,3443.0,7.2401285,5.21363,1,-63.09999847,3.400000095,0.0
98,3743.0,7.2494865,5.2054465,1,-72.0,4.199999809,0.0
99,4047.0,7.2529565,5.196701,1,-73.40000153,3.200000048,0.0
100,4347.0,7.254541,5.1929395,1,-66.69999695,0.0,0.0
101,4647.0,7.26157,5.173002,1,-63.59999847,-11.19999981,-50.29999924
102,4951.0,7.2630235,5.1640985,1,-80.69999695,3.0,0.0
103,5251.0,7.263547,5.160197,1,-74.69999695,3.799999952,0.0
104,5503.0,7.263547,5.160197,1,-86.09999847,-15.0,-71.19999695
105,5805.0,7.269746,5.1616165,1,-66.5,3.0,0.0
106,103.0,7.2735875,5.1564725,1,-90.09999847,-14.60000038,-75.19999695
107,403.0,7.278995,5.1529685,1,-77.40000153,3.200000048,0.0
108,703.0,7.286019,5.1528935,1,-69.59999847,-8.100000381,-61.0
109,1005.0,7.2928165,5.1510415,1,-70.40000153,3.5,0.0
110,1309.0,7.2983265,5.145406,1,-65.80000305,3.799999952,0.0
111,1609.0,7.3064365,5.1389535,1,-52.70000076,3.700000048,0.0
112,1911.0,7.300885,5.1315635,1,-70.69999695,3.0,0.0
113,2211.0,7.2973235,5.134835,1,-72.0,2.599999905,0.0
114,313.0,7.3033035,5.1368665,1,-61.59999847,3.799999952,0.0
115,711.0,7.304209667,5.132827833,1,-70.30000305,3.299999952,0.0
116,1111.0,7.2957035,5.138185,1,-63.0,3.700000048,0.0
117,1517.0,7.2929245,5.1503895,1,-78.0,-15.60000038,-61.90000153
118,1919.0,7.2838735,5.1540055,1,-66.30000305,-10.80000019,-54.29999924
119,2319.0,7.2735715,5.156275,1,-79.90000153,3.799999952,0.0
120,2723.0,7.264413,5.1627325,1,-68.19999695,3.0,0.0
121,3121.0,7.2517065,5.17344,1,-77.5,-21.10000038,-55.40000153
122,3519.0,7.251234,5.194594,1,-49.59999847,3.0,0.0
