UniqueID,Date,Time of the Day,Day of week,Latitude,Longitude,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1,Call Established
16238,2/24/2022,Morning,Thursday,7.293454,5.158556,-66.30000305,0.400000006,0,1
16493,2/24/2022,Morning,Thursday,7.280722,5.1923035,-75.09999847,4.199999809,0,1
16624,2/24/2022,Evening,Thursday,7.281775,5.217964,-87.19999695,3.799999952,0,1
17310,2/24/2022,Morning,Thursday,7.2546275,5.218242,-82.69999695,2.599999905,0,1
17436,2/24/2022,Morning,Thursday,7.2514475,5.205056,-65.59999847,3.200000048,0,1
17571,2/24/2022,Morning,Thursday,7.2553485,5.1894795,-74.40000153,3.599999905,0,1
17704,2/24/2022,Morning,Thursday,7.250930749,5.170124404,0,0,0,1
17831,2/24/2022,Morning,Thursday,7.267527,5.1617875,-68.59999847,3,0,1
17981,2/24/2022,Morning,Thursday,7.275255,5.1525785,-69.40000153,3.200000048,0,1
18110,2/24/2022,Morning,Thursday,7.2862125,5.153009,-66.90000153,3.900000095,0,1
18237,2/24/2022,Morning,Thursday,7.296255,5.1494535,-63.90000153,3.5,0,1
18366,2/24/2022,Morning,Thursday,7.2969632,5.1355808,-73.30000305,0,0,1
107,2/18/2022,Morning,Friday,7.302863,5.1493585,-79.69999695,-15.69999981,-63.90000153,1
214,2/18/2022,Morning,Friday,7.287465,5.165219,-69.19999695,-8.699999809,-60.79999924,1
458,2/18/2022,Morning,Friday,7.281025,5.191569,-73.09999847,-10.69999981,-60.40000153,1
572,2/18/2022,Evening,Friday,7.2813785,5.2132775,-58.90000153,-9.5,-48.29999924,1
685,2/18/2022,Evening,Friday,7.27673225,5.2377355,-87.69999695,-13.19999981,-74.30000305,1
798,2/18/2022,Evening,Friday,7.2740315,5.253835,-67,-5.5,-60.90000153,1
911,2/18/2022,Evening,Friday,7.2759825,5.2825165,-99,-14.89999962,-83.69999695,1
1025,2/18/2022,Evening,Friday,7.2613235,5.2677755,-82.09999847,-14,-67.90000153,1
1143,2/18/2022,Morning,Friday,7.2603685,5.2238885,-82.19999695,-19.5,-62,1
1258,2/18/2022,Morning,Friday,7.2462715,5.2209135,-80.19999695,-11.69999981,-67,1
1389,2/18/2022,Morning,Friday,7.2517175,5.2033925,-63,-12,-50.70000076,1
1499,2/18/2022,Evening,Friday,7.251216,5.193949,-68.40000153,-14,-53.79999924,1
1613,2/18/2022,Evening,Friday,7.250386,5.166154,-60.40000153,-12.60000038,-47.79999924,1
1864,2/18/2022,Evening,Friday,7.2629765,5.164281,-81.30000305,-15.69999981,-63.5,1
1975,2/18/2022,Morning,Friday,7.2633785,5.169366,-78.40000153,-16.20000076,-61.09999847,1
2117,2/18/2022,Morning,Friday,7.272731,5.159198,-83.40000153,-21.60000038,-61.90000153,1
2231,2/18/2022,Morning,Friday,7.279559,5.1521925,-64.09999847,-7.199999809,-55.59999847,1
2347,2/18/2022,Morning,Friday,7.2907575,5.152653,-56,-7.199999809,-48.5,1
2457,2/18/2022,Evening,Friday,7.2974115,5.14235,-89.09999847,-14.80000019,-72.90000153,1
2569,2/18/2022,Evening,Friday,7.3007725,5.131589,-70.59999847,-14.89999962,-55.70000076,1
2684,2/18/2022,Morning,Friday,7.302011,5.1398175,-72,-15.19999981,-56.79999924,1
2881,2/20/2022,Morning,Sunday,7.2925745,5.1514055,-72.80000305,-15.19999981,-57.09999847,1
3024,2/20/2022,Morning,Sunday,7.280299,5.152209,-55,-4.300000191,-50.79999924,1
3167,2/20/2022,Evening,Sunday,7.273088,5.1583575,-82.09999847,-10.89999962,-70.5,1
3314,2/20/2022,Evening,Sunday,7.264242,5.162627,-79.40000153,-13.80000019,-66.19999695,1
3457,2/20/2022,Evening,Sunday,7.2502865,5.167783,-71.59999847,-11.69999981,-59,1
3599,2/20/2022,Evening,Sunday,7.2508395,5.196839,-69.09999847,-11.10000038,-57.40000153,1
3882,2/20/2022,Evening,Sunday,7.244868,5.2234765,-85.69999695,-17.79999924,-67.40000153,1
4034,2/20/2022,Evening,Sunday,7.263029,5.23826,-93.09999847,-11.19999981,-80.80000305,1
4179,2/20/2022,Evening,Sunday,7.270299,5.28248,-73.90000153,-11.89999962,-64.80000305,1
4322,2/20/2022,Evening,Sunday,7.2757065,5.281684,-99.5,-17.89999962,-81.59999847,1
4467,2/20/2022,Evening,Sunday,7.276299,5.24504,-67.80000305,-7,-65.30000305,1
4627,2/20/2022,Evening,Sunday,7.281309,5.220789,-77.30000305,-13.69999981,-63.59999847,1
4767,2/20/2022,Morning,Sunday,7.28123,5.19113,-73.59999847,-12,-61.09999847,1
5058,2/20/2022,Morning,Sunday,7.300419,5.152618,-73.5,-10,-62.40000153,1
5200,2/20/2022,Morning,Sunday,7.30654,5.139601,-73.59999847,-15.19999981,-58.09999847,1
5352,2/20/2022,Morning,Sunday,7.2949715,5.1316385,-93.5,-11.19999981,-80.30000305,1
5577,2/20/2022,Morning,Sunday,7.29648,5.1447715,-77.90000153,-6.099999905,-72,1
5770,2/21/2022,Morning,Monday,7.2919845,5.151607,-63.5,-13.10000038,-52.70000076,1
5905,2/21/2022,Morning,Monday,7.282169,5.153195,-68.09999847,-13.80000019,-54.29999924,1
6039,2/21/2022,Morning,Monday,7.2735925,5.15672,-86.80000305,-16.89999962,-70,1
6310,2/21/2022,Evening,Monday,7.2516395,5.1754335,-78.09999847,-15.60000038,-62.79999924,1
6592,2/21/2022,Evening,Monday,7.2354945,5.2186985,-69.5,-10.5,-58.90000153,1
6726,2/21/2022,Evening,Monday,7.2475035,5.2231525,-69.80000305,-8.100000381,-61.59999847,1
6990,2/21/2022,Evening,Monday,7.264344,5.276219,-68.5,-10.5,-57.59999847,1
7125,2/21/2022,Evening,Monday,7.276777,5.286103,-86.09999847,-5.599999905,-80.59999847,1
7262,2/21/2022,Evening,Monday,7.2753265,5.250523,-71.30000305,-10.10000038,-60.90000153,1
7395,2/21/2022,Evening,Monday,7.2767075,5.237558,-99.80000305,-20.60000038,-78.5,1
7545,2/21/2022,Evening,Monday,7.2807045,5.2081905,-84.69999695,-20,-64.40000153,1
7679,2/21/2022,Evening,Monday,7.282848,5.1879845,-67.30000305,-14.5,-52.79999924,1
8005,2/21/2022,Morning,Monday,7.3063365,5.1392215,-64.40000153,-10.39999962,-52.29999924,1
8277,2/21/2022,Morning,Monday,7.295145,5.14958,-61.09999847,-12.60000038,-48.5,1
8560,2/22/2022,Morning,Tuesday,7.3015125,5.1362875,-74.19999695,-6.900000095,-65.90000153,1
8604,2/22/2022,Morning,Tuesday,7.304550833,5.139077167,-70,-12.30000019,-57.5,1
8693,2/22/2022,Morning,Tuesday,7.3053565,5.143816,-67,-12.80000019,-54.5,1
8972,2/22/2022,Evening,Tuesday,7.2826425,5.1884805,-60.29999924,-11.19999981,-49,1
9020,2/22/2022,Evening,Tuesday,7.2814005,5.190765,-74.59999847,-13.60000038,-60.59999847,1
9360,2/22/2022,Evening,Tuesday,7.2760455,5.2472525,-63.09999847,-11.19999981,-51.40000153,1
9410,2/22/2022,Morning,Tuesday,7.270965,5.262075,-71.90000153,-11.89999962,-60.09999847,1
9456,2/22/2022,Evening,Tuesday,7.273105,5.2750955,-75.59999847,-12.19999981,-62.5,1
9549,2/22/2022,Evening,Tuesday,7.2762115,5.295605,-89.59999847,-11.80000019,-76.80000305,1
9643,2/22/2022,Evening,Tuesday,7.2628295,5.2722685,-84.40000153,-17,-67.09999847,1
9740,2/22/2022,Evening,Tuesday,7.2622985,5.241565,-86.80000305,-7.300000191,-79.09999847,1
10407,2/22/2022,Morning,Tuesday,7.26157,5.173002,-63.59999847,-11.19999981,-50.29999924,1
10665,2/22/2022,Morning,Tuesday,7.263547,5.160197,-86.09999847,-15,-71.19999695,1
10852,2/22/2022,Morning,Tuesday,7.2735875,5.1564725,-90.09999847,-14.60000038,-75.19999695,1
11042,2/22/2022,Morning,Tuesday,7.286019,5.1528935,-69.59999847,-8.100000381,-61,1
12029,2/23/2022,Evening,Wednesday,7.2929245,5.1503895,-78,-15.60000038,-61.90000153,1
12164,2/23/2022,Evening,Wednesday,7.2838735,5.1540055,-66.30000305,-10.80000019,-54.29999924,1
12557,2/23/2022,Evening,Wednesday,7.2517065,5.17344,-77.5,-21.10000038,-55.40000153,1
12938,2/23/2022,Evening,Wednesday,7.239233,5.2241725,-73.59999847,-10.80000019,-61.5,1
13073,2/23/2022,Morning,Wednesday,7.261235,5.2273545,-69.80000305,-9,-60.79999924,1
13330,2/23/2022,Morning,Wednesday,7.2765,5.2945625,-76.90000153,-5.900000095,-70.09999847,1
13589,2/23/2022,Morning,Wednesday,7.2764215,5.243454,-72.90000153,-10.10000038,-62.5,1
13729,2/23/2022,Morning,Wednesday,7.2785985,5.2262115,-84.90000153,-10.10000038,-73.09999847,1
13975,2/23/2022,Morning,Wednesday,7.2821825,5.189328,-66.30000305,-6.5,-59.20000076,1
14409,2/23/2022,Morning,Wednesday,7.309106,5.134924,-70,-10.69999981,-58.70000076,1
14517,2/23/2022,Morning,Wednesday,7.32214,5.114499,-68.59999847,-5.199999809,-67.19999695,1
14582,2/23/2022,Morning,Wednesday,7.340108,5.10302,-76.59999847,-15.60000038,-60.29999924,1
14626,2/23/2022,Morning,Wednesday,7.34739275,5.10267025,-62.29999924,-8.600000381,-56.70000076,1
14686,2/23/2022,Morning,Wednesday,7.3498845,5.10895,-82.59999847,-14.89999962,-66.30000305,1
15845,2/24/2022,Morning,Thursday,7.300277,5.144772,-75.80000305,-15.5,-63.29999924,1
16112,2/24/2022,Morning,Thursday,7.3035585,5.148111,-83,-15.10000038,-67.40000153,1
16368,2/24/2022,Morning,Thursday,7.2845045,5.1820045,-84.69999695,-14.69999981,-70,1
16776,2/24/2022,Evening,Thursday,7.2765825,5.242392,-82.80000305,-12.19999981,-70.59999847,1
16919,2/24/2022,Evening,Thursday,7.2723185,5.273041,-81.40000153,-11,-68.30000305,1
17046,2/24/2022,Evening,Thursday,7.2759,5.2926175,-82.5,-4.900000095,-78.40000153,1
17184,2/24/2022,Evening,Thursday,7.261265,5.2532135,-70.90000153,-13.10000038,-57.5,1
