UniqueID,Time,Date,Latitude,Longitude,Call Established/Calldrop,Timing Advance,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1,Time of the Day
10218,40:47.0,2/22/2022,7.2529565,5.196701,Call Established,,-73.40000153,3.200000048,,Morning
10312,43:47.0,2/22/2022,7.254541,5.1929395,Call Established,,-66.69999695,0,,Morning
10407,46:47.0,2/22/2022,7.26157,5.173002,Call Established,,-63.59999847,-11.19999981,-50.29999924,Morning
10502,49:51.0,2/22/2022,7.2630235,5.1640985,Call Established,,-80.69999695,3,,Morning
10595,52:51.0,2/22/2022,7.263547,5.160197,Call Established,,-74.69999695,3.799999952,,Morning
10665,55:03.0,2/22/2022,7.263547,5.160197,Call Established,,-86.09999847,-15,-71.19999695,Morning
10760,58:05.0,2/22/2022,7.269746,5.1616165,Call Established,,-66.5,3,,Morning
10852,01:03.0,2/22/2022,7.2735875,5.1564725,Call Established,,-90.09999847,-14.60000038,-75.19999695,Morning
10946,04:03.0,2/22/2022,7.278995,5.1529685,Call Established,,-77.40000153,3.200000048,,Morning
11042,07:03.0,2/22/2022,7.286019,5.1528935,Call Established,,-69.59999847,-8.100000381,-61,Morning
11136,10:05.0,2/22/2022,7.2928165,5.1510415,Call Established,,-70.40000153,3.5,,Morning
11232,13:09.0,2/22/2022,7.2983265,5.145406,Call Established,,-65.80000305,3.799999952,,Morning
11326,16:09.0,2/22/2022,7.3064365,5.1389535,Call Established,,-52.70000076,3.700000048,,Evening
11419,19:11.0,2/22/2022,7.300885,5.1315635,Call Established,,-70.69999695,3,,Evening
11512,22:11.0,2/22/2022,7.2973235,5.134835,Call Established,,-72,2.599999905,,Evening
11638,03:13.0,2/23/2022,7.3033035,5.1368665,Call Established,,-61.59999847,3.799999952,,Evening
11768,07:11.0,2/23/2022,7.304209667,5.132827833,Call Established,,-70.30000305,3.299999952,,Evening
11895,11:11.0,2/23/2022,7.2957035,5.138185,Call Established,,-63,3.700000048,,Evening
